#promien     #dlugosc     #T
0.00014    0.00014    37.0134
0.000154    0.00014    37.0123
0.000168    0.00014    37.0114
0.000182    0.00014    37.0105
0.000196    0.00014    37.0098
0.00021    0.00014    37.0091
0.000224    0.00014    37.0085
0.000238    0.00014    37.008
0.000252    0.00014    37.0075
0.000266    0.00014    37.007
0.00028    0.00014    37.0066
0.000294    0.00014    37.0063
0.000308    0.00014    37.006
0.000322    0.00014    37.0057
0.000336    0.00014    37.0054
0.00035    0.00014    37.0052
0.000364    0.00014    37.005
0.000378    0.00014    37.0048
0.000392    0.00014    37.0046
0.000406    0.00014    37.0044
0.00042    0.00014    37.0043
0.000434    0.00014    37.0042
0.000448    0.00014    37.0041
0.000462    0.00014    37.004
0.000476    0.00014    37.0039
0.00049    0.00014    37.0039
0.000504    0.00014    37.0038
0.000518    0.00014    37.0038
0.000532    0.00014    37.0038
0.000546    0.00014    37.0038
0.00056    0.00014    37.0038

0    0.000154    37.0247
1.4e-05    0.000154    37.0247
2.8e-05    0.000154    37.0247
4.2e-05    0.000154    37.0247
5.6e-05    0.000154    37.0247
7e-05    0.000154    37.0218
8.4e-05    0.000154    37.0195
9.8e-05    0.000154    37.0175
0.000112    0.000154    37.0159
0.000126    0.000154    37.0145
0.00014    0.000154    37.0132
0.000154    0.000154    37.0122
0.000168    0.000154    37.0112
0.000182    0.000154    37.0104
0.000196    0.000154    37.0096
0.00021    0.000154    37.009
0.000224    0.000154    37.0084
0.000238    0.000154    37.0079
0.000252    0.000154    37.0074
0.000266    0.000154    37.0069
0.00028    0.000154    37.0066
0.000294    0.000154    37.0062
0.000308    0.000154    37.0059
0.000322    0.000154    37.0056
0.000336    0.000154    37.0053
0.00035    0.000154    37.0051
0.000364    0.000154    37.0049
0.000378    0.000154    37.0047
0.000392    0.000154    37.0045
0.000406    0.000154    37.0044
0.00042    0.000154    37.0043
0.000434    0.000154    37.0041
0.000448    0.000154    37.004
0.000462    0.000154    37.004
0.000476    0.000154    37.0039
0.00049    0.000154    37.0038
0.000504    0.000154    37.0038
0.000518    0.000154    37.0037
0.000532    0.000154    37.0037
0.000546    0.000154    37.0037
0.00056    0.000154    37.0037

0    0.000168    37.0247
1.4e-05    0.000168    37.0247
2.8e-05    0.000168    37.0247
4.2e-05    0.000168    37.0247
5.6e-05    0.000168    37.0247
7e-05    0.000168    37.0217
8.4e-05    0.000168    37.0193
9.8e-05    0.000168    37.0174
0.000112    0.000168    37.0157
0.000126    0.000168    37.0143
0.00014    0.000168    37.0131
0.000154    0.000168    37.012
0.000168    0.000168    37.0111
0.000182    0.000168    37.0102
0.000196    0.000168    37.0095
0.00021    0.000168    37.0088
0.000224    0.000168    37.0083
0.000238    0.000168    37.0077
0.000252    0.000168    37.0073
0.000266    0.000168    37.0068
0.00028    0.000168    37.0065
0.000294    0.000168    37.0061
0.000308    0.000168    37.0058
0.000322    0.000168    37.0055
0.000336    0.000168    37.0053
0.00035    0.000168    37.005
